05/05/2021	0	ENI Ponte Roma BZ	46.70	1.514	70.70	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	gasolio	70.70	_placeholder_	
15/12/2021	12.295	ENI Seebacher NazSciaves	24.77	 1.859	 46.05  	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	gasolio	 46.05  	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	_placeholder_	
